City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
khatanga,71.9667,102.5,37.06,71,99,11.23,RU,1663149670
puerto ayora,-0.7393,-90.3518,63.55,100,99,5.01,EC,1663149670
bluff,-46.6,168.3333,46.8,72,85,21.16,NZ,1663149671
albany,42.6001,-73.9662,58.57,94,0,7.83,US,1663149671
ushuaia,-54.8,-68.3,35.26,69,0,6.91,AR,1663149533
praia da vitoria,38.7333,-27.0667,76.75,96,7,5.41,PT,1663149672
paso de los toros,-32.8167,-56.5167,44.82,95,1,5.32,UY,1663149673
ponta do sol,32.6667,-17.1,78.01,66,24,5.08,PT,1663149674
anakapalle,17.6833,83.0167,87.55,66,99,14.07,IN,1663149675
tabuk,17.4189,121.4443,80.26,79,15,1.95,PH,1663149676
sola,-13.8833,167.55,80.19,78,22,17.11,VU,1663149676
dodge city,37.7528,-100.0171,70.25,69,88,5.99,US,1663149677
noumea,-22.2763,166.4572,67.98,78,40,4.99,NC,1663149677
matara,5.9485,80.5353,83.62,69,88,11.16,LK,1663149664
brae,60.3964,-1.353,53.89,77,100,14.67,GB,1663149678
kingsville,27.5159,-97.8561,80.91,95,75,1.01,US,1663149679
sunrise manor,36.2111,-115.0731,72.21,76,100,4.61,US,1663149679
mataura,-46.1927,168.8643,46.47,96,49,3.15,NZ,1663149519
carnarvon,-24.8667,113.6333,67.59,57,40,19.75,AU,1663149680
husavik,66.0449,-17.3389,43.12,80,100,12.41,IS,1663149681
qandala,11.472,49.8728,95.07,45,95,6.29,SO,1663149681
sandpoint,48.2766,-116.5533,56.41,85,40,1.01,US,1663149682
morondava,-20.2833,44.2833,82.0,55,82,11.95,MG,1663149683
jamestown,42.097,-79.2353,59.72,75,75,6.91,US,1663149520
pilar,-9.5972,-35.9567,71.53,86,59,0.81,BR,1663149441
grindavik,63.8424,-22.4338,45.07,87,0,12.66,IS,1663149684
kavieng,-2.5744,150.7967,82.71,72,88,15.17,PG,1663149684
okha,53.5739,142.9478,48.97,80,73,10.09,RU,1663149685
gumdag,39.2061,54.5906,97.3,7,0,18.97,TM,1663149685
georgetown,5.4112,100.3354,87.73,70,40,9.22,MY,1663149437
kapaa,22.0752,-159.319,73.09,76,0,10.13,US,1663149687
pitogo,13.7847,122.0881,83.16,77,29,10.65,PH,1663149689
havelock,34.8791,-76.9013,73.94,88,89,6.85,US,1663149691
prince rupert,54.3161,-130.3201,51.22,92,53,3.76,CA,1663149691
pacific grove,36.6177,-121.9166,60.42,88,0,3.0,US,1663149693
onufriyivka,48.9072,33.4487,64.26,51,80,14.97,UA,1663149695
pisco,-13.7,-76.2167,56.28,91,15,0.63,PE,1663149696
san cristobal,7.7669,-72.225,63.39,95,100,1.86,VE,1663149696
hithadhoo,-0.6,73.0833,81.86,70,15,4.79,MV,1663149697
faanui,-16.4833,-151.75,78.37,73,86,21.77,PF,1663149697
kodiak,57.79,-152.4072,47.44,84,81,4.18,US,1663149698
hobart,-42.8794,147.3294,51.66,57,0,9.22,AU,1663149547
qaanaaq,77.484,-69.3632,32.27,79,65,5.53,GL,1663149520
walvis bay,-22.9575,14.5053,56.08,74,13,10.18,NA,1663149438
minab,27.1467,57.0801,99.55,38,0,13.15,IR,1663149700
rikitea,-23.1203,-134.9692,70.66,79,100,11.39,PF,1663149518
bethel,41.3712,-73.414,61.48,82,0,4.61,US,1663149701
ridgecrest,35.6225,-117.6709,73.38,29,0,5.01,US,1663149701
busselton,-33.65,115.3333,56.89,67,79,19.24,AU,1663149624
clyde river,70.4692,-68.5914,37.63,100,100,5.75,CA,1663149702
nikolskoye,59.7035,30.7861,55.29,79,100,5.37,RU,1663149702
dumai,1.6833,101.45,77.23,79,95,3.71,ID,1663149453
barrow,71.2906,-156.7887,35.62,87,100,24.16,US,1663149703
bredasdorp,-34.5322,20.0403,81.37,24,0,2.71,ZA,1663149704
hilo,19.7297,-155.09,74.28,92,29,5.01,US,1663149705
sept-iles,50.2001,-66.3821,60.06,96,100,16.11,CA,1663149706
amarpur,25.0333,86.9,86.0,71,93,6.2,IN,1663149706
luderitz,-26.6481,15.1594,70.11,51,0,14.25,NA,1663149629
padang,-0.9492,100.3543,84.25,72,98,2.82,ID,1663149453
lock haven,41.137,-77.4469,57.9,96,12,3.56,US,1663149708
